Compound identifier,Trivial name,Final ABS IC50 (nM),Final iGc IC50 (nM),Final LGc IC50 (nM),Final mGc IC50 (nM),FC iGC-ABS,FC LGc-ABS,FC mGc-ABS,SMILE
TCMDC-141973,,807.89,,270.00,,,0.33,,OC(=O)CCSSc1ccccn1=O
TCMDC-140553,,808.93,,540.00,,,0.67,,OC(=O)C(F)(F)F.CC(C)CNCc1ccc(cc1)-c1cccc(CN(CCN(C)C)C(=O)CCC2CCCC2)c1
MMV665891,,809.02,,5000.00,,,6.18,,c1ccc(cc1)c2ccc(cc2)c3nc4ccccc4[nH]3
GNF-Pf-4133,,810.00,,,333.92,,,0.41,CN(C)CCNC1=CC(=NC2=CC=CC=C12)C3=CC=C4C=CC=CC4=C3
TCMDC-137832,,811.00,,405.00,,,0.50,,C#CCCOc1ccc2ccccc2c1CNCCCCCCNCc1c(OCCC#C)ccc2ccccc12
MMV022029,,819.34,,4040.00,1420.00,,4.93,1.73,CN1CCC(CC1)NCc2cccc(c2)c3ccc(cc3)S(=O)(=O)NCc4ccccc4
TCMDC-139844,,820.89,,1385.00,,,1.69,,Cl.CC(Cc1ccc(COc2ccc(CC(CO)NCCc3cccc(Cl)c3)cc2)cc1)NCCc1cccc(Cl)c1
MMV665799,,822.44,,5000.00,,,6.08,,COc1ccc(cc1)C(=O)Nc2ccc(Cl)cc2C(=O)Nc3ccncc3
TCMDC-131272,,825.00,,256.67,,,0.31,,Cl.COc1ccc(CCNCCCCCCNCCc2ccc(Cl)cc2)c(Cl)c1OC
MMV006882,,826.00,,5000.00,,,6.05,,CCOC(=O)c1cnc2ccc(Cl)cc2c1NCCCN(C)C
TCMDC-138958,,827.00,,680.00,,,0.82,,Cl.CC1(C)CC(CC(C)(C)N1)NCCCCCCCOc1ccc(OCc2ccccc2)cc1
TCMDC-137261,,828.69,,333.33,,,0.40,,Cl.Ic1cc(CNC2CCCCC2)ccc1OCc1cccc(COc2ccc(CNC3CCCCC3)cc2I)c1
MMV666022,,830.00,,5000.00,,,6.02,,COc1ccc(cc1)C(=O)NC(c2ccccc2Cl)c3cc(Cl)c4cccnc4c3O
MMV394033,,831.00,,339.90,,,0.41,,ClC4=C(OCC(O)C[N]2[C](=N)[N](CCN1CCCCC1)C3=C2C=CC=C3)C=CC(=C4)Cl
PP65,,832.00,,1880.00,,,2.26,,Nc1ccc(cn1)c1ccc2ncc3N(C)C(=O)N(C4CCCCC4)c3c2c1
MMV396744,,832.00,,3317.00,,,3.99,,n1(CCc2ccccc2F)c3c(nc4c(cccc4)n3)c(C(=O)NCC(C)C)c1N
MMV024406,,832.91,,,5000.00,,,6.00,Clc1cccc(NC(=O)c2cnc(N3CCN(CC3)c4ccncc4)c(Cl)c2)c1
TCMDC-131288,,833.93,,3000.00,,,3.60,,Cl.CCNC1=NC2=C(CC(CC2)C(C)(C)C)C2(CCC(CC2)C(C)(C)C)S1
TCMDC-125802,,836.80,,1305.90,,,1.56,,O=N(=O)c1ccc(C=NNc2nc(Nc3ccccc3)nc(Nc3ccccc3)n2)o1
DDD01035187,,841.00,,,5000.00,,,5.95,COC1=CC=C(C=C1OC)C1=C2N=NC(C#N)=C(N)N2N=C1C
TCMDC-132860,,842.22,,736.67,,,0.87,,OC(=O)C(F)(F)F.Fc1ccc2[nH]c(nc2c1)-c1cccc(c1)-c1cccc(CNCCN2CCNCC2)c1
MMV666105,,844.60,,5000.00,,,5.92,,COCCN(C(C(=O)NCc1ccc(OC)cc1)c2ccc(cc2)C(C)C)C(=O)Cc3cccs3
TCMDC-125153,,844.97,,2663.33,,,3.15,,Clc1ccc(cc1C(=O)Nc1ccc2N(CCCc2c1)S(=O)(=O)c1cccs1)N(=O)=O
MMV688766,,846.00,,1310.00,,,1.55,,COc1ccc(c(O)c1)c2onc(c2c3ccc(Cl)cc3)C(F)(F)F
MMV666060,,848.64,,1049.00,,,1.24,,COc1ccc(CN2CCCC(C2)C(=O)c3ccc(cc3)C(F)(F)F)c(O)c1
TCMDC-134776,,850.46,,5000.00,,,5.88,,OC(=O)C(F)(F)F.Cc1cc(N[C@@H](Cc2ccccc2)C(=O)NCCc2ccccc2)nc(NCCc2ccccc2)n1
TCMDC-134445,,855.88,,690.00,,,0.81,,OC(=O)C(F)(F)F.CC(C)(C)c1ccc(CN2CCC(CNC(=O)c3cc(cs3)-c3ccccc3Cl)C2)cc1
TCMDC-140545,,856.76,,629.67,,,0.73,,OC(=O)C(F)(F)F.CC(C)CNCc1cccc(c1)-c1ccc(CN(CCCN2CCN(C)CC2)C(=O)\C=C\c2ccccc2)cc1
TCMDC-125550,,858.82,,585.00,,,0.68,,COc1cccc(c1)C(=O)NC(C=Cc1ccccc1)c1cc(Cl)c2cccnc2c1O
TCMDC-137340,,859.00,,250.00,,,0.29,,CS(O)(=O)=O.C=CCOc1ccc2ccccc2c1CNCCCCCCNCc1c(OCC=C)ccc2ccccc12
TCMDC-132872,,861.74,,860.00,,,1.00,,OC(=O)C(F)(F)F.FC(F)(F)c1ccc2[nH]c(nc2c1)-c1cccc(c1)-c1ccc(CNCCN2CCNCC2)cc1
TCMDC-141357,,864.99,,3425.00,,,3.96,,O[C@H]([C@@H](O)C(O)=O)C(O)=O.CN1CCC(CC1)N(Cc1ccc(cc1)-c1ccc(Cl)cc1)C(=O)Cn1c(CCc2cccc(F)c2F)cc(=O)c2ccccc12
GP81,,866.38,,,427.83,,,0.49,OC=1C(=O)c2ccccc2C2=NC(=O)C(C)(C)C=12
TCMDC-134893,,867.17,,5000.00,,,5.77,,OC(=O)C(F)(F)F.COc1ccccc1CCNc1nc(C)cc(N[C@@H](Cc2ccccc2)C(=O)NCc2cccc(F)c2)n1
TCMDC-132052,,870.00,,325.00,,,0.37,,Cl.CCc1c2OCOc2ccc1CC(C)NCCCCCCNCCc1ccc(OC)c(OC)c1CC
TCMDC-135281,,870.79,,350.00,,,0.40,,OC(=O)C(F)(F)F.CCn1c(nc2c(ncc(C(=O)N3CCC(N)C3)c12)-c1cc2ccccc2s1)-c1nonc1N
TCMDC-134180,,871.64,,5000.00,,,5.74,,Nc1ncc(cc1S(=O)(=O)N1CCOCC1)-c1ccc2nccc(-c3ccncc3)c2c1
TCMDC-135234,,873.00,,3040.00,,,3.48,,CCn1c(Sc2ccc(c(c2)C#N)N(=O)=O)nnc1-c1cccc(Cl)c1
PP44,,874.00,,2790.00,,,3.19,,FC(F)(F)c1cc(ccc1)N1C(=O)Nc2cnc3ccc(cc3c21)c1cccc(C#N)c1
MMV665800,,875.23,,5000.00,,,5.71,,CCOc1cc(Cl)c(cc1OCC)C(C)NC(=O)c2ccccc2
MMV020660,,875.82,,5000.00,,,5.71,,COc1ccc(cc1OC)c2nonc2NC(=O)c3cccc(Cl)c3
TCMDC-140558,,877.08,,700.00,,,0.80,,OC(=O)C(F)(F)F.CC(C)CNCc1cccc(c1)-c1ccc(CN(CCCN2CCN(C)CC2)C(=O)CCC2CCCC2)cc1
TCMDC-132479,,877.46,,1675.00,,,1.91,,OC(=O)C(F)(F)F.COc1ccc(CNCCc2cccs2)cc1-c1cccc(c1)S(=O)(=O)NCCN1CCCC1
MMV000326,,878.70,,5000.00,,,5.69,,Cc1ccc2nc(C)cc(Nc3cccc(c3)C(F)(F)F)c2c1
TCMDC-124594,,881.16,,600.00,,,0.68,,OC(=O)C(O)=O.Oc1c(CN2CCC(Cc3ccccc3)CC2)cc(Cl)c2cccnc12
TCMDC-140123,,881.53,,413.33,,,0.47,,CN(CCCCN)Cc1ccc(cc1)-c1ccc(Cl)cc1
BRD-K36757984-001-01-6,,885.77,,,5000.00,,,5.64,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Nc2ccc(cc2)C(F)(F)F)Oc2c(NC(=O)c3ccc(cc3)-c3nccs3)cccc2C1=O
TCMDC-140560,,886.20,,535.00,,,0.60,,OC(=O)C(F)(F)F.CN1CCN(CCCN(Cc2ccc(cc2)-c2ccc(CNC3CCCC3)cc2)C(=O)CCC2CCCC2)CC1
MMV645672,,890.00,,5000.00,,,5.62,,C12=C(c3c(cccc3)C1=O)Nc4c(cccc4)SC2c5ccccc5
MMV007978,,890.00,,5000.00,,,5.62,,CCOc1ccc(CCNC(=O)c2cccs2)cc1OCC
TCMDC-137842,,891.00,,305.00,,,0.34,,CS(O)(=O)=O.COc1cc2ccccc2c(OC)c1CCNCCCCNCCc1c(OC)cc2ccccc2c1OC
TCMDC-124840,,891.56,,5000.00,,,5.61,,CCc1n[nH]c(C(=O)NC2CCN(CC3(CCCCC3)c3ccc(OC)cc3)CC2)c1C
TCMDC-139652,,892.49,,1015.00,,,1.14,,OC(=O)C(F)(F)F.O=C(Nc1ccc(Oc2ccccc2)cc1)N(CCN1CCCC1)Cc1ccc(cc1)-c1ccc(CN2CCNCC2)cc1
MMV019746,,895.49,,5000.00,,,5.58,,Cc1ccc(Cl)cc1N2CCN(CCCNC(=O)C3CCN(CC3)c4nc5ccccc5[nH]4)CC2
TCMDC-135110,,897.73,,2513.33,,,2.80,,Fc1ccc(OC2CN(C2)c2nccc(NCc3ccccc3Cl)n2)cc1
MMV396665,,898.00,,5000.00,,,5.57,,c1(sc(cc2c(c3CC2)c4ccc3)c4n1)NC(=O)c(cc5OC)cc(OC)c5OC
TCMDC-137198,,903.19,,140.00,,,0.16,,CCN(CC)CCOc1ccc(cc1)C(O)(C#CC(O)(c1ccc(C)cc1)c1ccc(OCCN(CC)CC)cc1)c1ccc(C)cc1
TCMDC-132863,,903.87,,1453.33,,,1.61,,OC(=O)C(F)(F)F.Fc1ccc2[nH]c(nc2c1)-c1cccc(c1)-c1ccc(CNCCN2CCNCC2)cc1
GP65,,903.88,,,480.20,,,0.53,COc1ccc(cc1)NC(=O)Nc1ccc(cc1)Nc1nc(C)cc(Nc2ccc(C)cc2)n1
MMV086103,,906.00,,5000.00,,,5.52,,CC1=CC(=O)Oc2c1ccc3oc(C(=O)c4ccc(C)cc4)c(C)c23
TCMDC-140626,,906.10,,350.00,,,0.39,,OC(=O)C(F)(F)F.CN(C)CCN(Cc1ccccc1-c1ccc(CNCCc2ccccc2)cc1)C(=O)NC1CCCCC1
TCMDC-137817,,906.68,,420.00,,,0.46,,COc1ccc2CCCCc2c1CNCCCCCCNCc1c2CCCCc2ccc1OC
MMV665946,,908.41,,5000.00,,,5.50,,CC(=CCN1CCC(CC1)C(=O)Nc2ccc(cc2)c3nc4ccccc4[nH]3)C
MMV020942,,909.72,,5000.00,,,5.50,,CCC(=O)Nc1nnc(Cc2ccc(OC)c(OC)c2)s1
TCMDC-132862,,909.83,,1285.00,,,1.41,,OC(=O)C(F)(F)F.FC(F)(F)c1ccc2[nH]c(nc2c1)-c1ccc(s1)-c1ccc(CNCCN2CCNCC2)cc1
TCMDC-139606,,912.79,,1270.00,,,1.39,,OC(=O)C(F)(F)F.CC(C)CCNC(=O)c1cnc2c(O)cccc2c1Nc1cccc(NC(=O)c2ccc(F)cc2)c1
TCMDC-136678,,913.03,,333.33,,,0.37,,CN(C)CCNC(=O)c1ccc(cc1)-c1cnc2ccc(NCc3ccc(Cl)c(Cl)c3)nn12
TCMDC-137442,,914.00,,746.67,,,0.82,,Br.CCCOc1ccc2c(CCN=C2\C=C\C=C\C)c1
MMV000620,,915.70,,5000.00,,,5.46,,CC(O)(C(CN1CCCCC1)c2ccccc2)c3ccc(Cl)cc3
MMV396717,,916.00,,5000.00,,,5.46,,c([nH]nc1c2c(O)cc(C)c(Cl)c2)(C3=O)c1C(c4ccccc4F)N3CCc(cc5)ccc5OC
TCMDC-137455,,916.54,,240.00,,,0.26,,Cl.CC(CNC(=N)c1cccc(n1)C(=N)NCC(C)Oc1cccc(c1)C1CCCCC1)Oc1cccc(c1)C1CCCCC1
TCMDC-137952,,916.62,,83.33,,,0.09,,CS(O)(=O)=O.CCCOc1ccc(CCNCCCCNCCc2ccc(OCCC)c3ccccc23)c2ccccc12
TCMDC-140546,,916.65,,1003.33,,,1.09,,OC(=O)C(F)(F)F.CC(C)CNCc1ccc(cc1)-c1ccc(CN(CCCN2CCN(C)CC2)C(=O)\C=C\c2ccccc2)cc1
TCMDC-137953,,919.78,,1540.00,,,1.67,,CS(O)(=O)=O.COc1ccc2c(OC)c(CNCCCCCCNCc3ccc4cc(OC)ccc4c3OC)ccc2c1
MMV020275,,920.29,,5000.00,,,5.43,,Clc1ccc2nc(cc(C(=O)NC3CCN(Cc4ccccc4)CC3)c2c1)c5ccncc5
MMV665850,,921.00,,5000.00,,,5.43,,Oc1ccc(Cl)cc1CNc2nc3ccccc3[nH]2
TCMDC-132663,,921.60,,3500.00,,,3.80,,Clc1cccc(c1)-c1cnn2ccc(nc12)C(=O)Nc1ccc(cc1)N1CCNCC1
TCMDC-137848,,924.74,,80.00,,,0.09,,CS(O)(=O)=O.CCCCOc1c(CCNCCCCNCCc2cc(OC)c3ccccc3c2OCCCC)cc(OC)c2ccccc12
DC15,,924.80,,1787.50,,,1.93,,CS(=O)c1ccc(cc1)c1cnc2ccc(nn12)c1ccc(CN(CC)CC)c(F)c1
TCMDC-140541,,926.49,,556.67,,,0.60,,OC(=O)C(F)(F)F.CC(C)CNCc1cccc(c1)-c1cccc(CN(CCCN2CCN(C)CC2)C(=O)\C=C\c2ccccc2)c1
MMV665897,,926.84,,5000.00,,,5.39,,COc1ccc2nc(N)nc(C)c2c1
TCMDC-131807,,926.99,,365.00,,,0.39,,CCN(CC)C(Nc1ccc(Cl)cc1)=NC(=N)NCCCCCCNC(=N)N=C(Nc1ccc(Cl)cc1)N(CC)CC
MMV403679,,929.00,,1090.00,,,1.17,,c1(c(cnn1c2cccc(C)c2)C(=O)N3)N=C3n4nc(C)cc4NC(=O)c5cc(cccc6)c6o5
TCMDC-141558,,929.46,,3706.67,,,3.99,,CCN(CC)CCN(Cc1ccc(cc1)-c1ccc(cc1)C(F)(F)F)C(=O)c1ccc(cc1)-c1ccc(NC(=O)OC)cc1C
TCMDC-137612,,930.03,,423.33,,,0.46,,Br.CCCCC(NCC)c1ccc(OCCOc2ccc(cc2)C(CCCC)NCC)cc1
TCMDC-125491,,933.17,,143.33,,,0.15,,Cl.CCN(CC)CCCOC(=O)c1ccc-2c(c1)-c1ccc(C(=O)OCCCN(CC)CC)c3cccc-2c13
MMV019199,,933.69,,5000.00,,,5.36,,COc1cccc(Nc2nc(N)c3ccccc3n2)c1
TCMDC-132055,,934.00,,265.67,,,0.28,,Cl.CCc1c2OCOc2ccc1CC(C)(C)NCCCCCCNCCc1ccc(OC)c(OC)c1CC
TCMDC-131551,,935.00,,266.67,,,0.29,,Cl.C[C@H](Cc1ccc(CCc2ccc(C[C@@H](C)NC[C@H](O)c3cccc(Cl)c3)cc2)cc1)NC[C@H](O)c1cccc(Cl)c1
MMV019741,,937.91,,5000.00,,,5.33,,Cc1ccc(C)c(Cn2c(nc3ccccc23)N4CCC(CC4)C(=O)NCc5cccs5)c1
MMV667489,,939.00,,5000.00,,,5.32,,N1C(c2cccc(cccc3)c23)C(CC=C4)C4c5c1c(Cl)ccc5C(OC)=O
TCMDC-136193,,940.51,,2165.00,,,2.30,,OC(=O)C(F)(F)F.CCn1c(nc2c(ncc(OCCCN)c12)-c1cccc(NC(=O)Nc2cccc(Cl)c2)c1)-c1nonc1N
PP48,,948.00,,2330.00,,,2.46,,NS(=O)(=O)c1ccc(cc1)c1ccc2ncc3NC(=O)N(c4cc(ccc4)C(F)(F)F)c3c2c1
TCMDC-139800,,948.00,,433.33,,,0.46,,CC(CCCCCC(=O)Nc1ccc(CC(C)NCCc2cccc(Cl)c2)cc1)NCCc1cccc(Cl)c1
TCMDC-139597,,949.92,,5000.00,,,5.26,,FC(F)(F)c1cccc(c1)S(=O)(=O)NCC1CCCN(CCCCCNC(=O)\C=C\c2ccc(Cl)c(Cl)c2)C1
TCMDC-139839,,952.41,,473.33,,,0.50,,OC(=O)C(O)=O.CCCCCCCN1CC[C@@H](CCCc2ccnc3ccc(OCCCCNC(N)=NO)cc23)[C@@H](CC)C1
TCMDC-137771,,952.95,,140.00,,,0.15,,CC1CCCCN1CCCNc1nc(NCc2ccccc2)c2ccccc2n1
MMV019064,,954.99,,5000.00,,,5.24,,COc1cccc(c1)c2nn(C)c3sc(cc23)C(=O)NCCN4CCN(CC4)c5ccccc5F
TCMDC-136656,,955.94,,3275.00,,,3.43,,OC(=O)C(F)(F)F.Fc1ccc(cc1)N(C1CCNCC1)c1nc(cs1)-c1cc(F)cc(c1)C(F)(F)F
MMV007285,,956.00,,5000.00,,,5.23,,CCOc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1
TCMDC-140964,,957.00,,173.33,,,0.18,,O[C@H]([C@@H](O)C(O)=O)C(O)=O.CCN(CC)CCN(Cc1ccc(cc1)-c1ccc(cc1)C(F)(F)F)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1\C=C\c1cccc(F)c1F
TCMDC-136481,,957.33,,5000.00,,,5.22,,OC(=O)C(F)(F)F.CN1CCCN(Cc2cccc(c2)-c2ccc(NS(=O)(=O)c3cccc4cccnc34)cc2)CC1
TCMDC-131267,,957.58,,173.00,,,0.18,,Cl.COc1ccc(CCNCCCCCCNCCc2ccc(cc2)-c2ccccc2)cc1OC
DDD01245291,,958.00,,5000.00,2424.42,,5.22,2.53,OC1(CN2CCC(CC2)OC2=CC=CC(=C2)C(F)(F)F)CCNC1
TCMDC-132859,,958.54,,710.00,,,0.74,,OC(=O)C(F)(F)F.C(CN1CCNCC1)NCc1cccc(c1)-c1cccc(c1)-c1nc2ccccc2[nH]1
MMV396635,,959.00,,5000.00,,,5.21,,n12c(nc(c3ccc(Cl)s3)cc1C(F)(F)F)cc(C(=O)NC(CC4)CCN4Cc5ccccc5)n2
MMV396681,,959.00,,5000.00,,,5.21,,n1(nc(C)cc1NC(=O)c(cccc2C(F)(F)F)c2)c3scc(c(ccc(OCO4)c45)c5)n3
NCGC00134795,,960.00,,4250.00,,,4.43,,[O-][N+](=O)c1cc(ccc1)[S+]([O-])(=O)NCc1nc2cccnc2n1Cc1ccccc1OC
GP31,,967.19,,,276.61,,,0.29,Fc1ccc(cc1)C1=NN=C2c3cc(OC)c(OC)cc3N(C=C21)Cc1ccccc1OC
TCMDC-132873,,969.81,,496.67,,,0.51,,OC(=O)C(F)(F)F.Cc1cccc2nc([nH]c12)-c1cccc(c1)-c1cccc(CNCCN2CCNCC2)c1
MMV007041,,975.00,,673.00,,,0.69,,Cc1ccc2c(C)nc(Nc3nc(C)cc(n3)c4ccccc4)nc2c1
GNF-Pf-2727,,976.00,,,693.39,,,0.71,ClCC(=O)NC1=CC=C(CN2CCCCC2)C=C1
TCMDC-141633,,980.23,,996.67,,,1.02,,OC(=O)C(F)(F)F.CN(C)CCCNc1nccc(n1)N(C)c1ccc(NC(=O)Nc2cc(ccc2F)C(F)(F)F)cc1
TCMDC-136244,,982.00,,710.00,,,0.72,,Cl.C(CCN1CCC(CC1)c1c[nH]c2ccccc12)COc1ccc2CCN(CC3CC3)CCc2c1
MMV665898,,982.00,,5000.00,,,5.09,,COc1cc(cc(OC)c1OC)C(=O)Nc2ccc(cc2)c3nc4ccccc4[nH]3
BRD-K03339938-001-01-9,,983.36,,,5000.00,,,5.08,COc1ccc(NC(=O)N(C)C[C@H]2Oc3c(NC(=O)CCCCCC(=O)Nc4ccccc4N)cccc3C(=O)N(C[C@H]2C)[C@@H](C)CO)cc1
TCMDC-139064,,985.44,,1830.00,,,1.86,,OC(=O)C(O)=O.O=C(NCCCCN1CCC(CC1)c1c[nH]c2ccc(cc12)-c1ccccc1)c1ccc(cc1)-c1ccccc1
TCMDC-136384,,985.47,,2415.00,,,2.45,,OC(=O)C(F)(F)F.COc1cc(Br)c(cc1OC)S(=O)(=O)n1cc(CN2CCC(N)CC2)c2cc(Cl)ccc12
TCMDC-137843,,988.19,,319.00,,,0.32,,CS(O)(=O)=O.COc1cc2ccccc2c(OC)c1CNCCCCCCNCc1c(OC)cc2ccccc2c1OC
TCMDC-132088,,992.00,,455.00,,,0.46,,OC(=O)\C=C\C(O)=O.Nc1c(Cl)cc(cc1Cl)C(O)CNCCCCCOCCCc1ccc(O)c2ncccc12
TCMDC-124011,,993.00,,20.00,,,0.02,,Clc1c(-c2ccc(Cl)cc2)c2ccc(Cl)cc2s1=O
MMV019758,,993.56,,5000.00,,,5.03,,COc1ccc(cc1OC)C(=O)Nc2ccc3nc(cc(C)c3c2)N4CCCCC4
MMV666009,,994.00,,5000.00,,,5.03,,CN1C(N(C)c2ccccc12)c3ccc4OCOc4c3
MMV007977,,995.00,,5000.00,,,5.03,,Clc1ccc(C=CC2=NC(=O)c3ccccc3O2)cc1
TCMDC-137319,,996.00,,84.00,,,0.08,,CS(O)(=O)=O.COc1cc2CCCCc2cc1CCNCCCCNCCc1cc2CCCCc2cc1OC
MMV007474,,997.00,,5000.00,,,5.02,,COc1cc2CCN(C)C3Cc4ccc(Oc5cc(CC6N(C)CCc7cc(OC)c(OC)c(Oc1cc23)c67)ccc5O)cc4
TCMDC-132012,,997.64,,296.67,,,0.30,,COc1cc2nc(NCCCN3CCCCC3)nc(NCc3ccccc3)c2cc1OC
TCMDC-125769,,998.00,,43.33,,,0.04,,Br.Cc1ccnc(Nc2nc(cs2)-c2ccccn2)c1
AV26,,1000.00,,1400.00,,,1.40,,ClC1=CC(C2=CC=CC=C2)=CC=C1C3=CC=C(CNCC4CCNCC4)O3
TCMDC-136190,,1004.35,,435.00,,,0.43,,OC(=O)C(F)(F)F.CCn1c(nc2c(ncc(OCCCN)c12)-c1cccc(NC(=O)Nc2ccccc2OC)c1)-c1nonc1N
TCMDC-139559,,1005.51,,1430.00,,,1.42,,NC(=N)Nc1nc(cs1)-c1ccc(NC(=O)Nc2cccc(c2)-c2csc(NC(N)=N)n2)cc1
TCMDC-139799,,1006.96,,1655.00,,,1.64,,CC(CCCCC(=O)Nc1ccc(CC(C)NCCc2cccc(Cl)c2)cc1)NCCc1cccc(Cl)c1
MMV019202,,1007.04,,5000.00,,,4.97,,CCOc1cccc(c1)C(=O)Nc2ccc(cc2)c3nc4ccccc4[nH]3
TCMDC-131284,,1009.02,,530.00,,,0.53,,Cl.COc1cccc(CCNCCCCCCNCCc2ccc(Cl)cc2)c1
DDD01251134,,1009.25,,5000.00,,,4.95,,CCCN1N=CC=C1C(=O)N1CCN(CC1)C1CCC2=C(C1)C=CC=C2
MMV396595,,1010.00,,1590.00,,,1.57,,n12c(cc(C(C)(C)C)n1)nc(CCN3Cc4ccccc4OCC)c(C3)c2O
TCMDC-138539,,1011.75,,2680.00,,,2.65,,CS(=O)(=O)CCNCc1nc(cs1)-c1ccc2c(c1)nc[nH]c2=O
TCMDC-141450,,1015.13,,986.67,,,0.97,,OC(=O)C(F)(F)F.O=C(COc1ccccc1)N(Cc1ccc(cc1)-c1ccc(CNC2Cc3ccccc3C2)cc1)C1CCNCC1
TCMDC-124120,,1018.41,,300.00,,,0.29,,Cl.CCCCOc1ccc(cc1)C(=O)C(CCC(CNC(C)(C)C)C(=O)c1ccc(OCCCC)cc1)CNC(C)(C)C
MMV665899,,1019.77,,5000.00,,,4.90,,Fc1ccccc1C(=O)N(Cc2ccc(Cl)cc2)c3ccccn3
HL33,,1020.00,,3667.00,,,3.60,,FC(F)(F)c1cc(ccc1)N1C(=O)C=Cc2cnc3ccc(cc3c21)c1cc2ccccc2nc1
MMV396663,,1020.00,,5000.00,,,4.90,,c1(C(c(cccn2)c2)N3CCC(CC3)Cc4ccccc4)c(C)c(C)sc1NC(=O)c5ccco5
TCMDC-132864,,1027.00,,1080.00,,,1.05,,OC(=O)C(F)(F)F.FC(F)(F)c1ccc2[nH]c(nc2c1)-c1ccc(cc1)-c1cccc(CNCCN2CCNCC2)c1
MMV019074,,1028.44,,5000.00,,,4.86,,CCN1CCN(CC1)c2cc(C)c3cc(NC(=O)c4ccc(OC)c(OC)c4)ccc3n2
TCMDC-134442,,1034.00,,420.00,,,0.41,,OC(=O)C(F)(F)F.CC(C)(C)c1ccc(CN2CCC(CNC(=O)c3cc(cs3)-c3cccc(c3)C(F)(F)F)C2)cc1
MMV020912,,1034.05,,5000.00,,,4.84,,Cc1ccc(cc1NCc2cc(Cc3ccccc3)ccc2O)c4oc5ccccc5n4
GNF-Pf-3085,,1036.00,,,17.09,,,0.02,S=C(NN=CC=NNC(=S)NC1=CC=CC=C1)NC2=CC=CC=C2
MMV666106,,1042.08,,5000.00,,,4.80,,O=C(NC1CCCCC1)C(N(CCc2ccccc2)C(=O)c3occc3)c4cccs4
TCMDC-132294,,1042.39,,1213.33,,,1.16,,OC(=O)C(F)(F)F.COc1ccc(CNCc2ccc(F)cc2)cc1-c1ccc(cc1)S(=O)(=O)NCCN1CCCC1
MMV396632,,1050.00,,5000.00,,,4.76,,c1(OCC)c(OC)cc(cc1Cl)CN([H])CC(O)c2ccccc2
TCMDC-132009,,1050.06,,830.00,,,0.79,,S=C(NN=Cc1ccccn1)Nc1ccc2OCCOc2c1
MMV666599,,1051.94,,5000.00,,,4.75,,Brc1ccc(C=CC2=NC(=O)c3ccccc3O2)cc1
TCMDC-137845,,1054.00,,500.00,,,0.47,,CS(O)(=O)=O.CCCCOc1cc(OC)c2ccccc2c1CCNCCCCNCCc1c(OCCCC)cc(OC)c2ccccc12
TCMDC-136727,,1055.00,,950.00,,,0.90,,Cc1cc(OCCN2CCCCC2)ccc1NC(=O)c1cccc2c1ncn(Cc1ccc(Cl)cc1)c2=O
TCMDC-140559,,1055.33,,540.00,,,0.51,,OC(=O)C(F)(F)F.CC(C)CNCc1ccc(cc1)-c1ccc(CN(CCCN2CCN(C)CC2)C(=O)CCC2CCCC2)cc1
DDD01259521,,1059.50,,5000.00,5000.00,,4.72,4.72,CCN1N=CC(Br)=C1CN(C)S(=O)(=O)C1=CC=C(C)C=C1
MMV396594,,1060.00,,1290.00,,,1.22,,c12c(nc(c3ccc(OC)cc3)nc1N4CCN(C(=O)C5CCCCC5)CC4)sc(CCCC6)c26
MMV000304,,1060.00,,5000.00,,,4.72,,CCOc1ccc(Nc2c3ccccc3nc4ccccc24)cc1
MMV396736,,1060.00,,5000.00,,,4.72,,n(CC(CNCC1CCCO1)O)(c2c3cc(Cl)cc2)c4c3cc(Cl)cc4
TCMDC-137963,,1061.00,,480.00,,,0.45,,CS(O)(=O)=O.CCCCCCOc1ccc2ccccc2c1CNCCCCCCNCc1c(OCCCCCC)ccc2ccccc12
TCMDC-141446,,1063.43,,1003.33,,,0.94,,OC(=O)C(F)(F)F.O=C(CC1CCCC1)N(CC1CCCCN1)Cc1ccc(cc1)-c1ccc(CNC2Cc3ccccc3C2)cc1
TCMDC-131281,,1067.00,,545.00,,,0.51,,Br.CCCCc1ccc(CCNCCCCCCNCCc2ccc(O)c(O)c2)cc1
MMV675993,,1070.00,,1950.00,,,1.82,,COc1ccc(cc1OC)c2nn(C(C)C)c3ncnc(N)c23
NCGC00141020,,1070.00,,4860.00,,,4.54,,CN1CCN(CC1)Cc1c(O)ccc2c1OC(=C(Oc1ccc(CC)cc1)C2=O)C(F)(F)F
MMV396669,,1070.00,,5000.00,,,4.67,,n1c(cc(C)nc1Nc(cc2)ccc2NC(CCc3ccccc3)=O)N4CCCC4
GNF-Pf-2103,,1072.00,,,1250.00,,,1.17,COC1=CC=CC=C1NC2=CC(=NS(=O)(=O)C3=CC=CS3)C4=CC=CC=C4C2=O
MMV665944,,1080.00,,5000.00,,,4.63,,COc1ccc(CN2CCN(Cc3ccccc3)CC2)c(O)c1
TCMDC-137614,,1080.58,,506.67,,,0.47,,CC(C)CCNC(=N)Nc1ccc(OCCCCCOc2ccc(NC(=N)NCCC(C)C)cc2)cc1
